樣本編號,性別,年齡,每日閱讀報紙分鐘,每日看電視分鐘,每日使用網路分鐘,每週閱讀雜誌分鐘,抽樣權數
106117,Female,23,30,60,300,0,0.807775334231511
106208,Female,21,0,120,180,60,0.807775334231511
110116,Male,19,0,120,420,0,0.807775334231511
110119,Male,24,3,60,240,120,0.807775334231511
110219,Male,19,0,120,480,0,0.807775334231511
111119,Male,20,60,60,300,240,0.718413274683003
111144,Female,20,10,0,60,180,0.718413274683003
111222,Male,21,0,120,240,360,0.718413274683003
111234,Female,24,15,120,120,60,0.718413274683003
112117,Male,20,0,360,180,0,0.770980106363034
112129,Male,21,0,120,120,0,0.770980106363034
112239,Male,21,0,0,120,0,0.770980106363034
116126,Female,22,10,30,360,120,0.831846965580071
116136,Male,21,10,45,480,210,0.831846965580071
116218,Female,21,0,90,300,0,0.831846965580071
116223,Male,24,5,30,120,NA,0.831846965580071
206118,Male,21,0,60,240,0,0.771174983801733
206134,Female,24,0,60,300,60,0.771174983801733
206206,Female,22,NA,60,840,150,0.771174983801733
207118,Female,23,0,240,240,0,0.883624785883926
220224,Male,19,0,180,360,0,0.903148143353548
220231,Male,24,30,150,180,0,0.903148143353548
222114,Female,22,10,60,180,0,0.843472649944026
222115,Female,19,0,60,180,120,0.843472649944026
222217,Female,20,0,120,330,0,0.843472649944026
231235,Female,22,0,120,180,60,0.692080014661873
234125,Male,22,0,120,240,30,0.750077095794649
234141,Female,21,0,150,720,40,0.750077095794649
234220,Female,20,0,120,120,0,0.750077095794649
234231,Male,21,0,180,240,0,0.750077095794649
235135,Female,24,0,300,720,180,0.831846965580071
235137,Female,21,30,10,300,0,0.831846965580071
235211,Female,21,0,240,180,60,0.831846965580071
235214,Male,19,0,0,360,0,0.831846965580071
235223,Female,22,0,10,240,60,0.831846965580071
235236,Female,24,0,120,900,0,0.831846965580071
236114,Male,23,0,60,120,0,0.692080014661873
236206,Female,24,0,60,600,30,0.692080014661873
236214,Female,19,0,90,270,0,0.692080014661873
236217,Male,20,0,20,120,0,0.692080014661873
236232,Male,24,0,0,720,0,0.692080014661873
237113,Female,23,10,150,120,60,0.771174983801733
238202,Male,21,0,0,150,1440,0.771174983801733
238204,Male,23,0,0,300,0,0.771174983801733
238216,Male,24,0,120,180,0,0.771174983801733
238218,Female,23,0,60,180,0,0.771174983801733
241117,Male,19,15,180,240,0,0.770980106363034
241141,Male,24,15,120,360,0,0.770980106363034
241203,Female,23,10,10,180,0,0.770980106363034
242211,Female,22,30,240,270,0,0.903148143353548
242214,Male,21,0,180,480,0,0.903148143353548
244126,Female,24,30,60,90,60,0.831846965580071
244133,Female,22,0,120,300,0,0.831846965580071
244137,Male,20,0,90,360,0,0.831846965580071
244208,Male,22,60,150,330,60,0.831846965580071
244228,Female,19,0,60,60,5,0.831846965580071
251113,Female,22,10,300,180,0,0.878060569785044
251125,Male,19,0,300,360,120,0.878060569785044
251134,Female,19,0,180,240,0,0.878060569785044
269113,Male,23,20,120,180,0,0.883624785883926
269122,Male,19,20,0,300,0,0.883624785883926
300102,Male,19,10,150,150,0,0.774887731672533
300105,Male,22,0,180,150,0,0.774887731672533
300115,Female,20,15,15,180,15,0.774887731672533
300208,Female,22,90,90,180,60,0.774887731672533
300224,Female,22,0,30,180,0,0.774887731672533
300232,Female,19,0,120,120,5,0.774887731672533
300240,Male,21,60,90,60,0,0.774887731672533
302107,Female,20,0,60,120,30,0.96337362953165
302135,Male,23,0,210,330,30,0.96337362953165
302203,Male,19,0,60,180,0,0.96337362953165
302212,Female,19,0,180,300,180,0.96337362953165
302217,Male,22,0,0,300,0,0.96337362953165
302229,Female,21,0,0,120,0,0.96337362953165
302232,Female,23,0,60,150,180,0.96337362953165
324102,Female,24,0,0,360,0,1.11236804353596
324105,Female,22,0,60,300,0,1.11236804353596
324112,Male,22,0,300,60,0,1.11236804353596
324118,Male,20,0,120,360,0,1.11236804353596
324209,Female,24,0,60,180,60,1.11236804353596
324222,Male,24,0,60,210,0,1.11236804353596
324225,Female,23,0,90,150,0,1.11236804353596
326126,Male,24,0,120,240,60,1.11236804353596
326127,Male,24,0,240,60,0,1.11236804353596
326211,Male,24,0,120,480,0,1.11236804353596
326218,Female,19,0,60,360,0,1.11236804353596
326229,Female,19,0,60,300,0,1.11236804353596
326231,Female,19,5,240,360,0,1.11236804353596
328102,Male,19,0,330,300,0,1.19733614412157
328104,Female,19,60,150,60,0,1.19733614412157
