縣市,行政區,租賃年月日,建物型態,主要用途,租賃層次,總樓層數,建築完成年月,建物面積平方公尺,建物面積坪,房,廳,衛,有無隔間,有無傢俱,有無電梯,出租型態,月租金元,每坪月租金元,案件編號
臺北市,文山區,1140811,公寓(5樓含以下無電梯),住家用,三層,4,0611108,80.73,24.42,3,2,1,有,有,無,整棟(戶)出租,23000,942.0,RPTOMLMKQHKGFAA08CC
臺北市,大同區,1140812,公寓(5樓含以下無電梯),住家用,三層,4,0640704,100.72,30.47,4,1,2,有,有,無,整棟(戶)出租,32000,1050.0,RPPPMLMKQHKGFBA87CC
臺北市,信義區,1140811,住宅大樓(11層含以上有電梯),集合住宅,三層,12,0720901,106.76,32.29,2,1,1,有,有,有,整棟(戶)出租,26000,805.0,RPSNMLMKQHKGFDA18CC
臺北市,北投區,1140811,公寓(5樓含以下無電梯),住家用,四層,4,0690516,88.61,26.8,3,2,2,有,無,無,分層出租,29000,1082.0,RPSNMLMKQHKGFEA28CC
臺北市,北投區,1140812,公寓(5樓含以下無電梯),住商用,二層,4,0580324,104.15,31.51,0,0,0,無,無,無,,45000,1428.0,RPWNMLMKQHKGFEA68CC
臺北市,士林區,1140811,公寓(5樓含以下無電梯),住家用,四層,4,0651223,95.13,28.78,1,1,1,有,有,無,獨立套房,22000,765.0,RPOOMLMKQHKGFEA97CC
臺北市,文山區,1140812,住宅大樓(11層含以上有電梯),住家用,八層,13,0831108,41.34,12.51,1,0,1,有,有,有,獨立套房,12000,960.0,RPRNMLNKQHKGFAA87CC
臺北市,文山區,1140811,華廈(10層含以下有電梯),多戶住宅,七層,7,1120808,37.18,11.25,1,0,1,有,無,有,獨立套房,15000,1334.0,RPUNMLNKQHKGFAA18CC
臺北市,內湖區,1140813,公寓(5樓含以下無電梯),住家用,四層,5,0720523,28.83,8.72,4,1,2,有,無,無,分租雅房,10800,1238.0,RPUNMLNKQHKGFCA38CC
臺北市,內湖區,1140813,公寓(5樓含以下無電梯),住家用,三層,4,0661209,19.95,6.03,5,1,2,有,無,無,分租雅房,11800,1955.0,RPWNMLNKQHKGFCA58CC
臺北市,內湖區,1140813,公寓(5樓含以下無電梯),住家用,二層,5,0721004,16.52,5.0,6,1,2,有,無,無,分租雅房,8000,1601.0,RPPOMLNKQHKGFCA97CC
臺北市,中山區,1140811,公寓(5樓含以下無電梯),住家用,三層,5,0641120,21.03,6.36,6,1,5,有,有,無,分租套房,13500,2122.0,RPQQMLNKQHKGFCA28CC
臺北市,內湖區,1140811,公寓(5樓含以下無電梯),住家用,四層,5,0720331,79.79,24.14,3,2,1,有,有,無,整棟(戶)出租,25000,1036.0,RPUQMLNKQHKGFCA68CC
