樣本編號,性別,年齡,地區代碼,教育程度,是否完成學業,抽樣權數
106117,Female,23,1,College (continue with 6a2),"Yes, I graduated",0.807775334231511
106208,Female,21,1,College (continue with 6a2),"No, I didn't graduate",0.807775334231511
110116,Male,19,1,College (continue with 6a2),Not applicable,0.807775334231511
110119,Male,24,1,College (continue with 6a2),"Yes, I graduated",0.807775334231511
110219,Male,19,1,College (continue with 6a2),"No, I am still a student",0.807775334231511
111119,Male,20,1,College (continue with 6a2),Not applicable,0.718413274683003
111144,Female,20,1,College (continue with 6a2),Not applicable,0.718413274683003
111222,Male,21,1,College (continue with 6a2),"No, I am still a student",0.718413274683003
111234,Female,24,1,College (continue with 6a2),"Yes, I graduated",0.718413274683003
112117,Male,20,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.770980106363034
112129,Male,21,1,College (continue with 6a2),"No, I am still a student",0.770980106363034
112239,Male,21,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.770980106363034
116126,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.831846965580071
116136,Male,21,1,College (continue with 6a2),"No, I am still a student",0.831846965580071
116218,Female,21,1,College (continue with 6a2),"No, I am still a student",0.831846965580071
116223,Male,24,1,College (continue with 6a2),"Yes, I graduated",0.831846965580071
206118,Male,21,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.771174983801733
206134,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.771174983801733
206206,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.771174983801733
207118,Female,23,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.883624785883926
220224,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.903148143353548
220231,Male,24,1,Senior high school (continue with 6a1),"Yes, I graduated",0.903148143353548
222114,Female,22,1,College (continue with 6a2),"Yes, I graduated",0.843472649944026
222115,Female,19,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0.843472649944026
222217,Female,20,1,College (continue with 6a2),"No, I am still a student",0.843472649944026
231235,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.692080014661873
234125,Male,22,1,Master's degree (continue with 6a2),"No, I am still a student",0.750077095794649
234141,Female,21,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.750077095794649
234220,Female,20,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.750077095794649
234231,Male,21,1,Junior high school,"Yes, I graduated",0.750077095794649
235135,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.831846965580071
235137,Female,21,1,College (continue with 6a2),"No, I am still a student",0.831846965580071
235211,Female,21,1,College (continue with 6a2),"No, I am still a student",0.831846965580071
235214,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.831846965580071
235223,Female,22,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0.831846965580071
235236,Female,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.831846965580071
236114,Male,23,1,Master's degree (continue with 6a2),"No, I am still a student",0.692080014661873
236206,Female,24,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0.692080014661873
236214,Female,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.692080014661873
236217,Male,20,1,College (continue with 6a2),"No, I am still a student",0.692080014661873
236232,Male,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.692080014661873
237113,Female,23,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.771174983801733
238202,Male,21,1,College (continue with 6a2),"No, I am still a student",0.771174983801733
238204,Male,23,1,College (continue with 6a2),"Yes, I graduated",0.771174983801733
238216,Male,24,1,College (continue with 6a2),"Yes, I graduated",0.771174983801733
238218,Female,23,1,College (continue with 6a2),Not applicable,0.771174983801733
241117,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.770980106363034
241141,Male,24,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.770980106363034
241203,Female,23,1,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.770980106363034
242211,Female,22,1,College (continue with 6a2),"Yes, I graduated",0.903148143353548
242214,Male,21,1,Vocational senior high school (continue with 6a1),"No, I didn't graduate",0.903148143353548
244126,Female,24,1,College (continue with 6a2),"Yes, I graduated",0.831846965580071
244133,Female,22,1,College (continue with 6a2),Not applicable,0.831846965580071
244137,Male,20,1,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.831846965580071
244208,Male,22,1,College (continue with 6a2),"Yes, I graduated",0.831846965580071
