樣本編號,性別,年齡,地區代碼,教育程度,是否完成學業,每日閱讀報紙分鐘,每日看電視分鐘,每日使用網路分鐘,每週閱讀雜誌分鐘,臺灣經濟滿意度,政府施政滿意度,民主運作滿意度,收入足夠日常開支,整體生活滿意度,健康滿意度,朋友關係滿意度,工作滿意度,近期快樂程度,自評健康,覺得生活沒有希望,家庭月收入,低生活滿意度,抽樣權數
106117,Female,23,1,College (continue with 6a2),"Yes, I graduated",30,60,300,0,Fairly dissatisfied,Very dissatisfied,Fairly satisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly unhappy,Fair,A bit more than usual,Don't know,0,0.807775334231511
106208,Female,21,1,College (continue with 6a2),"No, I didn't graduate",0,120,180,60,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,I am currently unemployed,Pretty happy,Very good,Not at all,"NT$60,000 - NT$69,999",0,0.807775334231511
110116,Male,19,1,College (continue with 6a2),Not applicable,0,120,420,0,Not applicable,Not applicable,Not applicable,A little more than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Same as usual,Don't know,0,0.807775334231511
110119,Male,24,1,College (continue with 6a2),"Yes, I graduated",3,60,240,120,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Same as usual,"NT$300,000 - NT$399,999",0,0.807775334231511
110219,Male,19,1,College (continue with 6a2),"No, I am still a student",0,120,480,0,Fairly dissatisfied,Fairly dissatisfied,Very satisfied,A little more than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Not at all,Don't know,0,0.807775334231511
111119,Male,20,1,College (continue with 6a2),Not applicable,60,60,300,240,Fairly satisfied,Very dissatisfied,Very dissatisfied,Just enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Fair,Not at all,"NT$80,000 - NT$89,999",0,0.718413274683003
111144,Female,20,1,College (continue with 6a2),Not applicable,10,0,60,180,Not applicable,Not applicable,Not applicable,Much less than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Fairly satisfied,Fairly unhappy,Fair,Not at all,Don't know,0,0.718413274683003
111222,Male,21,1,College (continue with 6a2),"No, I am still a student",0,120,240,360,Not applicable,Not applicable,Not applicable,Much more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Very good,Not at all,"NT$50,000 - NT$59,999",0,0.718413274683003
111234,Female,24,1,College (continue with 6a2),"Yes, I graduated",15,120,120,60,Not applicable,Not applicable,Not applicable,A little less than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Good,Not at all,"NT$70,000 - NT$79,999",0,0.718413274683003
112117,Male,20,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0,360,180,0,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,A little more than enough,Pretty satisfied,Fairly satisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Good,Not at all,Don't know,0,0.770980106363034
112129,Male,21,1,College (continue with 6a2),"No, I am still a student",0,120,120,0,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Much more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Not at all,"NT$90,000 - NT$99,999",0,0.770980106363034
112239,Male,21,1,Vocational senior high school (continue with 6a1),"Yes, I graduated",0,0,120,0,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Pretty satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,"NT$60,000 - NT$69,999",0,0.770980106363034
116126,Female,22,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",10,30,360,120,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Pretty dissatisfied,Fairly satisfied,Fairly satisfied,Fairly happy,Fair,Not at all,"NT$50,000 - NT$59,999",0,0.831846965580071
116136,Male,21,1,College (continue with 6a2),"No, I am still a student",10,45,480,210,Not applicable,Not applicable,Not applicable,Much less than enough,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Poor,Same as usual,"NT$100,000 - NT$109,999",0,0.831846965580071
116218,Female,21,1,College (continue with 6a2),"No, I am still a student",0,90,300,0,Not applicable,Not applicable,Not applicable,Much more than enough,Pretty satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Not at all,"NT$160,000 - NT$169,999",0,0.831846965580071
116223,Male,24,1,College (continue with 6a2),"Yes, I graduated",5,30,120,NA,Fairly dissatisfied,Fairly dissatisfied,Fairly dissatisfied,A little more than enough,Fairly satisfied,Fairly satisfied,Fairly satisfied,I am currently unemployed,Fairly happy,Good,Same as usual,"NT$150,000 - NT$159,999",0,0.831846965580071
206118,Male,21,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0,60,240,0,Not applicable,Not applicable,Not applicable,A little more than enough,Pretty satisfied,Pretty satisfied,Pretty satisfied,Pretty satisfied,Pretty happy,Very good,Not at all,"NT$140,000 - NT$149,999",0,0.771174983801733
